5790.jpg,2
aug_rotation_4_1480.jpg,4
32074.jpg,2
aug_rotation_6_498.jpg,6
aug_rotation_4_914.jpg,4
aug_horizontal_flip_5_4677.jpg,5
214.jpg,3
19796.jpg,4
aug_horizontal_flip_0_3178.jpg,0
aug_translation_5_3714.jpg,5
17797.jpg,0
aug_rotation_5_3947.jpg,5
aug_translation_5_2960.jpg,5
aug_translation_4_1358.jpg,4
25824.jpg,6
30752.jpg,4
aug_translation_0_795.jpg,0
21736.jpg,6
10142.jpg,0
10888.jpg,4
15290.jpg,2
aug_horizontal_flip_0_1806.jpg,0
2468.jpg,3
4306.jpg,0
aug_rotation_0_953.jpg,0
7941.jpg,3
29985.jpg,4
32704.jpg,6
aug_translation_2_1585.jpg,2
aug_translation_5_1449.jpg,5
aug_translation_2_1701.jpg,2
aug_horizontal_flip_5_2415.jpg,5
aug_rotation_0_589.jpg,0
aug_translation_5_9.jpg,5
aug_horizontal_flip_4_2278.jpg,4
29077.jpg,2
19187.jpg,5
aug_horizontal_flip_2_352.jpg,2
aug_translation_0_1010.jpg,0
7337.jpg,4
aug_horizontal_flip_0_2510.jpg,0
5229.jpg,4
11989.jpg,3
18186.jpg,4
8261.jpg,3
659.jpg,3
8841.jpg,2
aug_translation_2_1374.jpg,2
aug_rotation_6_714.jpg,6
13660.jpg,2
aug_horizontal_flip_0_663.jpg,0
1479.jpg,2
aug_translation_5_99.jpg,5
33324.jpg,5
aug_translation_4_2637.jpg,4
35305.jpg,5
5319.jpg,2
aug_translation_6_995.jpg,6
26425.jpg,6
28339.jpg,0
aug_horizontal_flip_5_1254.jpg,5
7159.jpg,3
760.jpg,3
31191.jpg,4
aug_rotation_2_3230.jpg,2
26662.jpg,2
aug_horizontal_flip_4_580.jpg,4
17833.jpg,3
12816.jpg,6
23090.jpg,6
16107.jpg,0
aug_horizontal_flip_2_364.jpg,2
25380.jpg,3
aug_horizontal_flip_0_1253.jpg,0
aug_rotation_6_2264.jpg,6
10964.jpg,5
aug_translation_5_2947.jpg,5
aug_translation_6_2276.jpg,6
24973.jpg,3
aug_translation_5_2136.jpg,5
